movieID,actorName
1,Annie Potts
1,Bill Farmer
1,Don Rickles
1,Erik von Detten
1,Greg Berg
1,Jack Angel
1,Jan Rabson
1,Jim Varney
1,Joan Cusack
1,Joe Ranft
1,John Morris
1,John Ratzenberger
1,Kendall Cunningham
1,Laurie Metcalf
1,Patrick Pinney
1,Penn Jillette
1,Philip Proctor
1,R. Lee Ermey
1,Sarah Freeman
1,Scott McAfee
1,Sherry Lynn
1,Tim Allen
1,Tom Hanks
1,Wallace Shawn
2,Peter Bryant
2,Adam Hann-Byrd
2,Bebe Neuwirth
2,Bonnie Hunt
2,Bradley Pierce
2,Darryl Henriques
2,David Alan Grier
2,David Hyde Pierce
2,Gillian Barber
2,James Handy
2,Jonathan Hyde
2,Kirsten Dunst
2,Laura Bell Bundy
2,Lloyd Berry
2,Malcolm Stewart
2,Patricia Clarkson
2,Robin Driscoll
2,Robin Williams
3,Ann-Margret
3,Buck Henry
3,Buffy Sedlachek
3,Burgess Meredith
3,Christopher McDonald
3,Daryl Hannah
3,Isabell Monk
3,Jack Lemmon
3,Joe Howard
3,John Carroll Lynch
3,Kevin Pollak
3,Ollie Osterberg
3,Ossie Davis
3,Sharon Howard-Field
3,Steve Cochran
3,Walter Matthau
4,Leon
4,Angela Bassett
4,Brandon Hammond
4,Dennis Haysbert
4,Donald Faison
4,Ezra Swerdlow
4,Giancarlo Esposito
4,Graham Galloway
4,Gregory Hines
4,Jeffrey D. Sams
4,Lamont Johnson
4,Lela Rochon
4,Loretta Devine
4,Michael Beach
4,Mykelti Williamson
4,Starletta DuPois
4,Wendell Pierce
4,Wesley Snipes
4,Whitney Houston
4,Wren T. Brown
5,Ann Walker
5,Annie Meyers-Shyer
5,April Ortiz
5,B.D. Wong
5,Caroline Lagerfelt
5,Diane Keaton
5,Eugene Levy
5,George Newbern
5,Hallie Meyers-Shyer
5,Harris Laskaway
5,Jane Adams (II)
5,Jonathan Emerson
5,Kate McGregor-Stewart
5,K.C. Colwell
5,Kieran Culkin
5,Kimberly Williams
5,Linda de Scenna
5,Martin Short
5,Mychael Bates
5,Peter Michael Goetz
5,Seth Kaplan
5,Shannon Kennedy
5,Steve Martin
5,Susan Beaubian
5,Tony Simotes
5,Wendy Worthington
6,Al Pacino
6,Amy Brenneman
6,Ashley Judd
6,Begonia Plaza
6,Bill McIntosh
6,Brian Libby
6,Bud Cort
6,Dan Martin
6,Daniel O'Haco
6,Danny Trejo
6,Dennis Haysbert
6,Diane Venora
6,Farrah Forke
6,Hank Azaria
6,Hazelle Goodman
6,Henry Rollins
6,Jeremy Piven
6,Jerry Trimble
6,Jon Voight
6,Kai Soremekun
6,Kenny Endoso
6,Kevin Gage
6,Kim Staunton
6,Kimberly Flynn
6,Mario Roberts
6,Martin Ferrero
6,Mykelti Williamson
6,Natalie Portman
6,Niki Harris
6,Patricia Healy
6,Paul Herman
6,Ray Buktenica
6,Rick Avery
6,Rick Marzan
6,Robert De Niro
6,Steven Ford
6,Susan Traylor
6,Ted Levine
6,Terry Miller
6,Thomas Rosales Jr.
6,Tom Noonan
6,Tom Sizemore
6,Tone-Loc
6,Val Kilmer
6,Wes Studi
6,William Fichtner
6,Xander Berkeley
7,Colin Campbell
7,John Williams (II)
7,Paul Harvey
7,Audrey Hepburn
7,Bill Neff
7,Charles Harvey
7,David Ahdar
7,Ellen Corby
7,Emmett Vogan
7,Emory Parnell
7,Francis X. Bushman
7,Harvey B. Dunn
7,Humphrey Bogart
7,Joan Vohs
7,Kay Riehl
7,Kay E. Kuter
7,Marcel Dalio
7,Marcel Hillaire
7,Marion Ross
7,Marjorie Bennett
7,Martha Hyer
7,Nancy Kulp
7,Nella Walker
7,Otto Forrest
7,Rand Harper
7,Walter Hampden
7,William Holden
8,William Newman
8,Marian Seldes
8,Amy Wright
8,Blake Heron
8,Brad Renfro
8,Charles Rocket
8,Courtland Mead
8,Eric Schweig
8,Heath Lamberts
8,Jonathan Taylor Thomas
8,Kellen Hathaway
8,Lanny Flaherty
8,Michael McShane
8,Peter Mackenzie
8,Rachael Leigh Cook
9,Alan Clement
9,Allan Pinsker
9,Anthony Marino
9,Audra Lindley
9,Bernard Canepari
9,Bill Clement
9,Bill Dalzell III
9,Brad Moniz
9,Brian Smrz
9,Brian Delate
9,Brian Hutchison
9,Butch Luick
9,Callum Keith-King
9,Daniel R. Pagath
9,David Flick
9,Dean E. Wells
9,Diane Robin
9,Dixie Neyland Tymitz
9,Dorian Harewood
9,Douglas Rees
9,Ed Evanko
9,Faith Minton
9,Fred M. Waugh
9,Fred Mancuso
9,Gilbert B. Combs
9,Glenda Morgan Brown
9,Glenn Alan Gardner
9,Harold Surratt
9,Jack Erdie
9,Jack Skelly
9,Jay Caufield
9,Jean Pierre Nutini
9,Jean-Claude Van Damme
9,Jeff Habberstad
9,Jeff Hochendoner
9,Jeff Howell
9,Jeff Jimerson
9,Jennifer D. Bowser
9,John Hall
9,John Hateley
9,John Sterling
9,Jophery C. Brown
9,Karen Baldwin
9,Kate McNeil
9,Ken Milchick
9,Larry John Meyers
9,Luc Robitaille
9,Manny Perry
9,Mark Hager
9,Mark Kachowski
9,Michael Gaston
9,Michael R. Aubele
9,Mike Lange
9,Milton E. Thompson Jr.
9,Pat Brisson
9,Paul Mochnik
9,Paul Steigerwald
9,Phil Spano
9,Powers Boothe
9,Ray Laine
9,Raymond J. Barry
9,Rema D. Webb
9,Rick LeFevour
9,Rohn Thomas
9,Rosine 'Ace' Hatem
9,Ross Malinger
9,Steve Aronson
9,Thomas Saccio
9,Tommy Lafitte
9,Vinnie Sciullo
9,Whittni Wright
9,William Cameron
10,Alan Cumming
10,Billy Mitchell
10,Constantine Gregory
10,Desmond Llewelyn
10,Famke Janssen
10,Gottfried John
10,Izabella Scorupco
10,Joe Don Baker
10,Judi Dench
10,Michael Kitchen
10,Minnie Driver
10,Peter Majer
10,Pierce Brosnan
10,Ravil Isyanov
10,Robbie Coltrane
10,Samantha Bond
10,Sean Bean
10,Serena Gordon
10,Tchéky Karyo
10,Trevor Byfield
11,Mark Thompson
11,Aaron Sorkin
11,Andrew Steel
11,Anna Deavere Smith
11,Anne Haney
11,Annette Bening
11,Arthur Senzy
11,Beans Morocco
11,Beau Billingslea
11,Bernie McInerney
11,Clement von Franckenstein
11,David Paymer
11,Efrat Lavie
11,Frank Cavestani
11,Gail Strickland
11,George Murdock
11,Googy Gress
11,John Mahon
11,John Mahoney
11,Jordan Lund
11,Joseph Latimore
11,Joshua Malina
11,Karen Maruyama
11,Kathryn Ish
11,Leslie Bega
11,Martin Sheen
11,Mathew Saks
11,Maud Winchester
11,Michael Douglas
11,Michael J. Fox
11,Richard Dreyfuss
11,Nina Siemaszko
11,Richard Stahl
11,Rick Garcia
11,Ron Canada
11,Samantha Mathis
11,Shawna Waldron
11,Steve Gonzales
11,Taylor Nichols
11,Thom Barry
11,Tom Dahlgren
11,Wendie Malick
12,Alan Walls
12,Alton Ruff
12,Amy Yasbeck
12,Amy Yesbeck
12,Anne McVey
12,Audrey Baranishyn
12,Avery Schreiber
12,Barbaree Earl
12,Ben Livingston
12,Blane Savage
12,Carol Arthur
12,Casey King
12,Cherie Franklin
12,Chuck McCann
12,Cindy Marshall-Day
12,Clive Revill
12,Darla Haun
12,David DeLuise
12,David Savoy
12,Delores Nemiro
12,Dennon Rawles
12,Derek Mark Lochran
12,Elaine Ballace
12,Ezio Greggio
12,Gregg Binkley
12,Grinnell Morris
12,Harvey Korman
12,Henry Kaiser
12,Ira Miller
12,Jeffrey Broadhurst
12,Jennifer Crystal
12,Jim Peace
12,Jody Peterson
12,John Frayer
12,Johnny Cocktails
12,Jude Van Wormer
12,Karen Roe
12,Kathleen Kane
12,Kevin Scott Crawford
12,Leslie Nielsen
12,Leslie S. Sachs
12,Lisa Cordray
12,Loraine Shields
12,Lysette Anthony
12,Manette LaChance
12,Mark Blankfield
12,Matthew Porretta
12,Maud Winchester
12,Maura Nielsen
12,Megan Cavanagh
12,Megan Cavanaugh
12,Mel Brooks
12,Michael Connors
12,Nick Rempel
12,Peter MacNicol
12,Phillip Connery
12,Ric Coy
12,Richard Alan Stewart
12,Robin Shepard
12,Rudy De Luca
12,Sandra Rovetta
12,Sandy Johnson
12,Sharon Savoy
12,Shirley Kirkes
12,Sonje Fortag
12,Stan Mazin
12,Stephen Wolfe Smith
12,Steven Weber
12,Ted Sprague
12,Thea Nielsen
12,Tommy Koenig
12,Tony Griffin
12,Tricia McFarlin-Mattson
12,Vince Grant
12,Zale Kessler
13,William Roberts
13,Bill Bailey
13,Bob Hoskins
13,Brendan Fraser
13,Bridget Fonda
13,Christine Cavanaugh
13,Danny Mann
13,Donald Sinden
13,Garick Hagon
13,Jack Angel
13,Jennifer Blanc
13,Jim Carter
13,Jim Cummings
13,Juliette Brewer
13,Kevin Bacon
13,Lola Bates-Campbell
13,Michael J. Shannon
13,Miriam Margolyes
13,Phil Collins
13,Robbie Rist
13,Sandra Dickinson
14,Kevin Dunn
14,Annabeth Gish
14,Anthony Hopkins
14,Ling Bai
14,Bill Bolender
14,Bob Hoskins
14,Boris Sichkin
14,Brian Bedford
14,Bridgette Wilson
14,Charles Haugk
14,Chuck Preiffer
14,Clayton Townsend
14,Corey Carrier
14,Dan Hedaya
14,David Barry Gray
14,David Hyde Pierce
14,David Paymer
14,Donna Dixon
14,Drew Snyder
14,Ed Harris
14,Edward Herrmann
14,E.G. Marshall
14,Fima Noveck
14,Fyvush Finkel
14,George Plimpton
14,Harry Murphy
14,Howard Platt
14,Jack Wallace
14,James Karen
14,James Pickens Jr.
14,James Woods
14,Joan Allen
14,Joanna Going
14,John Bedford Lloyd
14,John C. McGinley
14,John Cunningham
14,John Diehl
14,John Stockwell
14,Jon Tenney
14,J.T. Walsh
14,Julie Araskog
14,Julie Condra
14,Larry Hagman
14,Lenny Vullo
14,Madeline Kahn
14,Marilyn Rockafellow
14,Marley Shelton
14,Mary Steenburgen
14,Michael Chiklis
14,Michael Herz & Llyod Kauf...
14,Oliver Stone
14,O'Neal Compton
14,Paul Sorvino
14,Power Booth
14,Powers Boothe
14,Ric Young
14,Richard Fancy
14,Robert Beltran
14,Robert Marshall
14,Ronald Von Klaussen
14,Saul Rubinek
14,Sean Stone
14,Tom Bower
14,Tony Goldwyn
14,Tony Lo Bianco
14,Tony Plana
14,Victor Rivers
14,Wilson Cruz
15,Carl Chase
15,Chris Johnston
15,Christopher Adamson
15,Christopher Kennedy Maste...
15,Christopher Masterson
15,Dickey Beer
15,Frank Langella
15,Geena Davis
15,George Murcell
15,Harris Yulin
15,Jimmie F. Skaggs
15,Ken Bones
15,Mary Peach
15,Matthew Modine
15,Maury Chaykin
15,Patrick Malahide
15,Paul Dillon
15,Peter Geeves
15,Rex Linn
15,Roger Booth
15,Rupert Vansittart
15,Stan Shaw
15,Tam White
15,Thomas Lockyer
16,Joe Bob Briggs
16,Alan King
16,Andy Jarrell
