movieID,tagID
1,7
1,13
1,25
1,55
1,60
1,146
1,326
1,351
1,362
1,382
1,459
1,465
1,501
1,528
1,605
1,672
1,752
1,819
1,896
1,900
1,1290
1,1925
1,2049
1,2119
1,2293
1,2481
1,4339
1,4342
1,4924
1,5289
1,6323
1,6535
1,6675
1,7705
1,10376
1,10420
1,10422
1,11344
1,11477
1,14562
1,15045
1,15123
1,15170
2,13
2,117
2,146
2,413
2,438
2,488
2,742
2,1224
2,1843
2,1944
2,2057
2,2381
2,2732
2,5045
2,9621
2,10382
2,10654
2,14371
3,380
3,2724
3,3196
3,3242
3,7444
3,13668
5,125
5,747
5,752
5,1646
5,2724
5,4294
5,4946
5,4953
6,351
6,528
6,587
6,638
6,662
6,675
6,1149
6,1218
6,1277
6,1974
6,2393
6,2538
6,3008
6,3013
6,4446
6,5032
6,6323
6,6800
6,6988
6,7052
6,8891
6,8982
6,13128
6,15248
7,415
7,747
7,1222
7,1260
7,1608
7,2983
7,5614
7,8994
7,9479
7,9679
7,11630
8,1224
8,9074
9,1277
9,7891
10,74
10,110
10,125
10,161
10,459
10,485
10,634
10,651
10,657
10,977
10,1023
10,1515
10,1783
10,2577
10,5843
10,6800
10,9015
10,9816
10,15227
11,587
11,651
11,689
11,779
11,780
11,892
11,901
11,6401
11,7179
11,8453
11,8476
11,10494
12,42
12,62
12,944
12,1452
13,7751
14,102
14,499
14,689
14,779
14,1188
14,1482
14,2462
14,2955
14,5534
14,8453
14,10422
14,15230
15,136
15,4617
16,77
16,214
16,251
16,258
16,310
16,351
16,353
16,521
16,587
16,595
16,638
16,644
16,711
16,1061
16,1504
16,4446
16,4481
16,5055
16,6324
16,6594
16,6800
16,8418
16,8889
16,15230
17,292
17,369
17,587
17,605
17,643
17,1061
17,1222
17,1224
17,1320
17,2158
17,2260
17,2364
17,5145
17,5301
17,5617
17,6679
17,7669
17,9926
17,13407
18,93
18,312
18,449
18,629
18,2241
18,2955
18,10422
19,55
19,364
19,1427
19,14382
20,2067
20,2261
20,2938
21,34
21,53
21,214
21,582
21,678
21,2731
21,2733
21,5055
21,9610
21,10746
22,54
23,2261
23,6324
24,386
24,582
24,1277
24,1582
24,3024
24,4731
24,5556
24,5565
24,7809
24,11448
25,93
25,219
25,418
25,506
25,587
25,610
25,625
25,1153
25,1159
25,1422
25,2538
25,4491
25,4731
25,5021
25,6635
25,6669
25,8583
25,11448
26,93
26,1320
26,4401
26,5614
26,9002
26,9298
26,9408
28,387
28,730
28,1061
28,4818
28,6709
28,11619
29,24
29,64
29,352
29,366
29,553
29,669
29,1085
29,1149
29,1382
29,1616
29,1925
29,2082
29,2538
29,2597
29,2614
29,4446
29,4740
29,4746
29,4856
29,6111
29,7392
29,8367
29,11477
29,12107
29,12794
31,473
31,587
31,910
31,1925
31,2261
31,2955
31,5035
31,9762
31,10304
32,13
32,24
32,161
32,235
32,296
32,351
32,366
32,379
32,386
32,397
32,419
32,459
32,473
32,502
32,582
32,605
32,610
32,611
32,615
32,635
32,727
32,747
32,750
32,754
32,838
32,1089
32,1106
32,1184
32,1218
32,1304
32,2403
32,2581
32,2671
32,2953
32,4080
32,5035
32,5505
32,5704
32,5742
32,5757
32,6324
32,6521
32,6800
32,6897
32,7420
32,8096
32,8343
32,9142
32,9847
32,13419
32,15912
34,117
34,369
34,459
34,915
34,1809
34,1876
34,2647
34,2955
34,3470
34,5919
34,6515
34,6899
34,7158
34,7179
34,9327
34,9419
35,353
35,2158
35,11037
35,11468
35,14510
35,16073
36,172
36,213
36,473
36,633
36,762
36,1023
36,1061
36,1277
36,1647
36,1911
36,2467
36,2473
36,2481
36,2596
36,2600
36,4112
36,4114
36,4125
36,4507
36,5055
36,7804
36,8142
36,10173
36,14511
36,14562
38,8481
39,415
39,605
39,651
39,730
39,892
39,910
39,1222
39,1224
39,1253
39,1450
39,1680
39,4666
39,5264
39,7669
39,10764
39,14035
40,387
40,2745
40,4560
41,1320
41,1472
41,4666
41,5151
41,5614
41,9002
41,9298
42,1765
42,6594
43,93
43,143
43,5711
44,655
44,686
44,2136
44,5035
44,7407
45,374
45,587
45,1218
45,1925
45,2578
45,5021
45,15943
46,587
46,1646
47,2
47,53
47,54
47,66
47,67
47,351
47,387
47,397
47,419
47,473
47,521
47,566
47,582
47,611
47,651
47,694
47,699
47,738
47,742
47,754
47,885
47,1023
47,1065
47,1218
47,1845
47,1915
47,2304
47,2341
47,2465
47,2481
47,2652
47,4081
47,4206
47,4534
47,5032
47,5035
47,5040
47,5195
47,5241
47,5998
47,6323
47,6502
47,6533
47,6709
47,6800
47,7071
47,7335
47,8105
47,8406
47,8917
47,9182
47,10408
47,10420
47,10725
47,10842
47,10906
47,11711
47,11843
47,11932
47,12459
47,13520
47,15053
48,362
48,870
48,887
48,900
48,2953
48,3862
48,16148
49,375
49,1654
49,2955
50,7
50,53
50,104
50,351
50,365
50,501
50,502
50,510
50,541
50,583
50,608
50,630
50,727
50,975
50,1218
50,1535
50,1920
50,1925
50,2187
50,2389
50,2557
50,2603
50,2955
50,2960
50,3868
50,4690
50,5021
50,5035
50,5054
50,5175
50,6323
50,6594
50,6800
50,10640
50,10695
50,12820
50,15840
52,61
52,244
52,1675
52,1925
52,5035
52,5040
52,5670
53,367
53,6709
54,429
55,10738
57,369
57,473
57,1472
58,354
58,498
58,1729
58,6717
58,10898
62,152
62,195
62,328
62,586
62,651
62,910
62,3071
62,3245
62,3475
62,5934
62,9762
62,10176
62,10304
65,195
65,1277
65,1693
65,12428
66,13160
67,6708
69,692
69,1220
69,4266
70,62
70,119
70,161
70,312
70,449
70,644
70,980
70,1024
70,1325
70,1706
70,1917
70,2076
70,2241
70,2955
70,4385
70,4604
70,5035
70,5202
70,5236
70,8671
70,8684
70,11412
70,11798
70,12201
70,12352
70,12489
70,15870
71,93
72,528
72,1141
72,1159
72,4464
72,6542
72,8914
72,8941
74,892
75,12428
76,93
76,261
76,8886
78,93
78,762
78,1470
79,93
80,353
80,413
80,906
80,1152
80,2067
80,2076
80,9148
80,10401
80,10905
80,11409
80,12515
81,2955
81,3008
81,6889
81,14042
82,1136
82,5273
82,6341
82,8812
82,14510
85,730
85,1610
85,5510
85,7050
86,1578
86,2406
88,55
88,4716
89,59
89,1273
92,1277
92,3828
93,3772
94,2399
94,2614
95,74
95,2611
95,2731
95,5055
95,6323
95,10725
95,11403
96,1135
97,69
97,263
97,351
97,1065
97,1140
97,1149
97,1176
97,1937
97,4692
97,5809
97,6800
97,7071
97,8935
97,10390
97,10859
97,11061
97,11505
97,11780
98,765
98,3007
