userID,movieID,rating
75,3,1
75,32,4.5
75,110,4
75,160,2
75,163,4
75,165,4.5
75,173,3.5
75,296,5
75,353,3.5
75,420,2
75,589,4
75,653,3
75,832,4.5
75,920,0.5
75,996,4.5
75,1036,4
75,1127,3.5
75,1215,4.5
75,1233,4
75,1304,2.5
75,1370,4
75,1374,4
75,1485,4
75,1527,4.5
75,1917,2.5
75,2011,2
75,2054,1.5
75,2058,4
75,2490,4
75,2571,4.5
75,2640,3
75,2688,3
75,2700,4.5
75,2762,3.5
75,2959,4.5
75,3258,1.5
75,3793,3
75,3889,3
75,3994,3.5
75,4993,3.5
75,5107,3
75,5833,2.5
75,5952,3.5
75,6213,4
75,6225,0.5
75,6333,4
75,7000,3.5
75,7007,4.5
75,7153,3.5
75,32029,4.5
75,32587,5
75,33437,3.5
75,39052,3.5
75,45431,3.5
75,45722,4.5
78,17,4
78,29,4.5
78,32,5
78,41,4.5
78,82,4
78,101,4.5
78,110,3.5
78,111,4
78,150,4
78,162,4.5
78,198,2.5
78,223,4.5
78,235,4
78,260,4
78,272,5
78,296,4.5
78,305,2
78,314,4
78,318,4
78,327,3.5
78,356,3.5
78,357,5
78,468,3.5
78,480,2.5
78,497,4
78,509,4.5
78,515,4
78,527,4
78,541,4.5
78,562,4.5
78,589,4
78,590,4
78,608,4.5
78,671,4
78,720,4.5
78,728,4
78,741,4.5
78,745,5
78,750,5
78,760,4
78,778,5
78,780,2.5
78,800,4
78,858,4
78,903,4
78,904,4.5
78,908,4.5
78,909,3.5
78,912,4.5
78,920,4.5
78,923,4
78,924,5
78,969,4.5
78,994,4.5
78,1019,3.5
78,1041,4.5
78,1060,4.5
78,1073,3.5
78,1077,5
78,1079,4.5
78,1080,5
78,1084,4
78,1085,4.5
78,1089,4.5
78,1090,4
78,1095,5
78,1097,3
78,1129,3
78,1136,4.5
78,1148,5
78,1150,4.5
78,1161,4.5
78,1172,4.5
78,1175,4.5
78,1178,5
78,1179,4
78,1183,3.5
78,1185,4.5
78,1186,4
78,1188,4.5
78,1189,5
78,1193,5
78,1196,3.5
78,1197,4.5
78,1198,4
78,1199,5
78,1200,4
78,1201,4
78,1202,5
78,1206,5
78,1207,4.5
78,1208,4.5
78,1210,2.5
78,1211,4.5
78,1214,5
78,1215,4
78,1217,5
78,1219,4.5
78,1220,4.5
78,1222,5
78,1223,4
78,1225,4.5
78,1230,4
78,1232,5
78,1233,4.5
78,1234,4
78,1238,4
78,1240,4.5
78,1243,5
78,1244,4.5
78,1245,4.5
78,1246,4
78,1247,4.5
78,1248,4
78,1250,4
78,1252,5
78,1253,4.5
78,1254,4.5
78,1258,4.5
78,1259,4.5
78,1262,4.5
78,1265,4.5
78,1267,4.5
78,1270,4
78,1272,4.5
78,1273,4.5
78,1274,4.5
78,1276,4.5
78,1278,5
78,1279,3.5
78,1285,4
78,1287,4
78,1288,5
78,1292,4.5
78,1295,4
78,1296,4.5
78,1299,4.5
78,1300,4.5
78,1301,4.5
78,1304,4.5
78,1306,3
78,1307,4
78,1320,2.5
78,1343,3.5
78,1346,4
78,1358,4.5
78,1374,3
78,1387,4.5
78,1391,4.5
78,1394,3.5
78,1449,5
78,1500,4.5
78,1517,4
78,1573,2
78,1617,3.5
78,1629,4.5
78,1641,4.5
78,1653,4
78,1663,4
78,1674,4.5
78,1676,2.5
78,1682,4
78,1694,4
78,1732,3.5
78,1794,4.5
78,1834,4
78,1885,4.5
78,1904,3.5
78,1913,4.5
78,1916,4.5
78,1921,4.5
78,1923,4
78,1931,4.5
78,1952,4.5
78,1953,4.5
78,1957,3.5
78,1960,4
78,1963,4
78,1965,5
78,1968,3
78,2009,4
78,2010,4
78,2021,3
78,2028,3.5
78,2064,4.5
78,2076,5
78,2100,4
78,2105,3.5
78,2108,4
78,2109,3.5
78,2117,5
78,2140,2
78,2144,3.5
78,2150,4
78,2174,4.5
78,2176,4.5
78,2186,4.5
78,2232,4.5
78,2248,4.5
78,2287,3.5
78,2288,2.5
78,2289,4
78,2290,4.5
78,2291,4.5
78,2294,3.5
78,2300,4
78,2316,2.5
78,2321,3.5
78,2324,4.5
78,2333,4.5
78,2346,4
78,2359,4.5
78,2360,4.5
78,2387,3.5
78,2390,5
78,2395,4
78,2396,4.5
78,2402,2
78,2406,3.5
78,2420,2.5
78,2427,4.5
78,2435,4.5
78,2455,4.5
78,2502,5
78,2527,3.5
78,2528,4
78,2529,4.5
78,2530,3.5
78,2532,2
78,2533,1.5
78,2542,4
78,2571,5
78,2600,3
78,2662,4.5
78,2664,4
78,2671,3.5
78,2672,4
78,2677,4.5
78,2692,4.5
78,2701,2.5
78,2706,2.5
78,2710,3.5
78,2716,4.5
78,2723,4.5
78,2747,3
78,2761,4.5
78,2762,4
78,2779,4.5
78,2791,4.5
78,2840,3.5
78,2858,4.5
78,2912,4.5
78,2916,4
78,2917,4
78,2918,4.5
78,2919,4.5
78,2929,5
78,2944,4
78,2947,3.5
78,2959,3.5
78,2968,4.5
78,2970,4
78,2973,4.5
78,2985,4
78,2997,4.5
78,3045,4
78,3052,4
78,3060,4
78,3067,4.5
78,3070,4
78,3072,4
78,3090,4.5
78,3104,4.5
78,3135,4
78,3163,4
78,3168,3.5
78,3175,4.5
78,3198,4.5
78,3201,4.5
78,3210,4.5
78,3253,4
78,3265,4.5
78,3271,4.5
78,3326,4
78,3328,4.5
78,3334,4
78,3338,4
78,3359,5
78,3363,4
78,3397,4.5
78,3418,3.5
78,3421,4.5
78,3424,4.5
78,3429,4.5
78,3441,2.5
78,3448,4
78,3470,4.5
78,3471,3.5
78,3481,4.5
78,3503,5
78,3504,3.5
78,3521,3.5
78,3527,4
78,3552,3
78,3608,5
78,3638,2.5
78,3658,4
78,3671,4
78,3676,4.5
78,3683,4
78,3698,2
78,3701,3.5
78,3702,4
78,3703,4
78,3706,4.5
78,3751,4.5
78,3755,4
78,3793,4
78,3811,5
78,3814,4.5
78,3819,4.5
78,3836,4.5
78,3863,4
78,3911,4.5
78,3925,4.5
78,3927,3
78,3959,4.5
78,3967,4.5
78,3996,3
78,4027,4.5
78,4034,4.5
78,4042,2.5
78,4085,4
78,4119,4.5
78,4131,4
78,4223,5
78,4226,5
78,4276,3.5
78,4278,4
78,4280,3.5
78,4310,2.5
78,4333,3.5
78,4338,4.5
78,4349,4.5
78,4361,3
78,4407,5
78,4443,4.5
78,4467,4.5
78,4485,2.5
78,4518,4
78,4553,4.5
78,4571,4
78,4605,4.5
78,4641,4.5
78,4642,5
78,4643,4
78,4713,4.5
78,4788,4.5
78,4842,4
78,4855,4
78,4873,5
78,4918,4.5
78,4973,5
78,4981,4
78,4982,2
78,5049,4.5
78,5060,4
78,5139,3.5
78,5198,4.5
78,5288,4.5
78,5299,4
78,5339,4.5
78,5410,4
78,5445,3
78,5446,4.5
78,5468,4
78,5505,4.5
78,5515,3
78,5522,4.5
78,5693,4
78,5747,5
78,5855,1.5
78,5876,5
78,5881,4.5
78,5899,4.5
78,5932,5
78,5981,4
78,6001,4
78,6184,4.5
78,6235,4.5
78,6261,3.5
78,6305,4
78,6333,4
78,6365,2
78,6385,4.5
78,6440,5
78,6448,4
78,6458,4.5
78,6502,4
78,6565,4
78,6579,4
78,6620,4
78,6645,4
78,6650,5
78,6678,4.5
78,6711,4.5
78,6773,5
78,6774,4.5
78,6791,4.5
78,6867,4.5
78,6874,4
78,6934,1.5
78,6942,4.5
78,6947,4.5
78,6971,5
78,6978,5
78,6993,4
78,7001,4.5
78,7003,4.5
78,7020,4.5
78,7025,4
78,7027,4.5
78,7042,3.5
78,7063,5
78,7069,5
78,7084,4.5
78,7123,4.5
78,7132,4
78,7156,4.5
78,7163,2
78,7215,4.5
78,7236,4.5
78,7323,4.5
78,7361,4.5
78,7389,1.5
78,7419,4.5
78,7438,3.5
78,7489,3.5
78,7560,4.5
78,7620,4.5
78,7698,4
78,7815,4
78,7817,4.5
78,7934,4.5
78,7983,4
78,8337,4.5
78,8400,4.5
78,8464,4.5
78,8595,4
78,8596,3
78,8622,5
78,8623,4.5
78,8690,4.5
78,9005,4.5
78,26203,4
78,26285,4
78,26554,3
78,27904,4
78,34405,4.5
78,37729,4
78,38038,3.5
78,44191,5
78,44694,2
78,46578,5
78,46976,4.5
78,48774,4.5
78,49272,3
78,50872,4.5
127,1707,3
127,1911,2.5
127,2013,3.5
127,2136,3.5
127,2719,4
127,3157,3
127,5523,4.5
127,6013,3
127,6482,0.5
127,6958,4
127,7293,3
127,7444,4
127,8810,3
127,8830,4
127,30883,2.5
127,31429,1
127,32296,0.5
127,39400,5
127,42009,1.5
127,43558,3.5
127,43904,4.5
127,43919,3
127,43936,4.5
127,44004,4
127,44397,4.5
127,45081,5
127,45720,4.5
127,45726,4.5
127,46335,2
127,48385,2.5
127,51662,4.5
127,51937,4
127,54286,3.5
170,1,3
170,2,2
170,10,3.5
170,19,2
170,21,3
170,32,4
170,34,2
170,39,2
170,47,4
170,50,4
170,104,4
170,111,3
170,141,2.5
170,165,3
170,180,5
170,208,2
170,223,4.5
170,231,1
170,296,4.5
170,318,4
170,337,3.5
170,344,2
170,356,3
170,364,2
170,367,2
170,377,2.5
170,420,2.5
170,432,2.5
170,500,2
170,597,2
170,648,2.5
170,736,2
170,778,4
170,788,2
170,1036,3
170,1080,4
170,1101,2
170,1136,3.5
170,1220,3
170,1222,5
170,1240,3
170,1262,1
170,1265,2
170,1270,3
170,1380,2
170,1387,3
170,1485,2
170,1517,3
170,1580,2.5
170,1639,3.5
170,1721,2.5
170,1923,2.5
170,2012,3
170,2174,0.5
170,2329,4.5
170,2542,4
170,2571,3.5
170,2683,3.5
170,2700,3.5
170,2706,3
170,2762,3.5
170,2858,3.5
170,2959,5
170,2997,3
170,3581,4
170,3623,2.5
170,3793,3
170,3897,2
170,3949,4.5
170,4011,4
170,4226,4
170,4251,4
