movieID,location1,location2,location3
1,,,
2,Canada,British Columbia,
2,Canada,British Columbia,Delta
2,Canada,British Columbia,Delta
2,Canada,British Columbia,Maple Ridge
2,Canada,British Columbia,Vancouver
2,USA,Maine,
2,USA,Maine,Kennebunk
2,USA,Maine,North Berwick
2,USA,New Hampshire,
2,USA,New Hampshire,Keene
2,USA,New Hampshire,Keene
2,USA,New Hampshire,Swanzey
3,USA,California,Burbank
3,USA,Minnesota,Center City
3,USA,Minnesota,Chanhassen
3,USA,Minnesota,Chanhassen
3,USA,Minnesota,Faribault
3,USA,Minnesota,Red Wing
3,USA,Minnesota,Rockford
3,USA,Minnesota,South St. Paul
3,USA,Minnesota,St. Paul
3,USA,Minnesota,Stillwater
4,USA,Arizona,Chandler
4,USA,Arizona,Fountain Hills
4,USA,Arizona,Paradise Valley
4,USA,Arizona,Phoenix
4,USA,Utah,Monument Valley
5,USA,California,Altadena
5,USA,California,Pasadena
5,USA,California,Pasadena
5,USA,California,Whittier
6,USA,California,Beverly Hills
6,USA,California,El Segundo
6,USA,California,Gardena
6,USA,California,Long Beach
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Los Angeles
6,USA,California,Malibu
6,USA,California,Santa Monica
6,USA,California,Santa Monica
7,USA,New York,Long Island
7,USA,New York,Long Island
8,USA,Alabama,
8,USA,Alabama,Decatur
8,USA,Alabama,Huntsville
8,USA,Alabama,Mooresville
9,USA,New York,Middletown
9,USA,Pennsylvania,Pittsburgh
9,USA,Pennsylvania,Pittsburgh
9,USA,Pennsylvania,Pittsburgh
9,USA,Pennsylvania,Pittsburgh
9,USA,Pennsylvania,Pittsburgh
10,France,,
10,France,Alpes-Maritimes,
10,France,Alpes-Maritimes,French Riviera
10,France,Alpes-Maritimes,Grand Corniche
10,France,Alpes-Maritimes,Grasse
10,France,Alpes-Maritimes,Greolieres
10,France,Alpes-Maritimes,Greolieres-les-neiges
10,France,Bouches-du-Rhône,
10,France,Bouches-du-Rhône,Thorenc
10,Monaco,,
10,Monaco,Monte Carlo,
10,Monaco,Monte Carlo,Casino Square
10,Monaco,Monte Carlo,Casino de Monte Carlo
10,Monaco,Monte Carlo,Monaco-Ville
10,Monaco,Monte Carlo,Monaco-Ville
10,Monaco,Monte Carlo,Monaco-Ville
10,Monaco,Monte Carlo,Monte Carlo Bay
10,Monaco,Monte Carlo,Monte Carlo Bay Hotel and Resort - 40 Avenue Princesse Grace
10,Monaco,Monte Carlo,Place du Casino
10,Puerto Rico,,
10,Puerto Rico,Arecibo,
10,Puerto Rico,Arecibo,Arecibo Observatory
10,Puerto Rico,Coast,
10,Puerto Rico,Manatí,
10,Puerto Rico,Manatí,Laguna Tortuguero Beach
10,Puerto Rico,Vega Baja,
10,Puerto Rico,Vega Baja,Ciénaga de Cibuco Farm
10,Russia,,
10,Russia,St. Petersburg,
10,Russia,St. Petersburg,Admiralteysky
10,Russia,St. Petersburg,Admiralteysky
10,Russia,St. Petersburg,Decembrists Square
10,Russia,St. Petersburg,Dvortsovaya Square
10,Russia,St. Petersburg,Hermitage
10,Russia,St. Petersburg,Moika Canal
10,Russia,St. Petersburg,Moika Embankment
10,Russia,St. Petersburg,Neva Embankment
10,Russia,St. Petersburg,Neva River
10,Russia,St. Petersburg,Nevsky Prospekt
10,Russia,St. Petersburg,St. Isaacs Cathedral
10,Russia,St. Petersburg,The General Staff Building
10,Russia,St. Petersburg,Vasilevsky Island
10,Russia,St. Petersburg,Zoological Museum
10,Switzerland,,
10,Switzerland,Cantone Ticino,
10,Switzerland,Cantone Ticino,Verzasca Dam
10,Switzerland,Kanton Zürich,Hittnau
10,Switzerland,Swiss Alps,
10,UK,,
10,UK,England,
10,UK,England,Cambridgeshire
10,UK,England,Cambridgeshire
10,UK,England,Hertfordshire
10,UK,England,Hertfordshire
10,UK,England,Hertfordshire
10,UK,England,London
10,UK,England,London
10,UK,England,London
10,UK,England,London
10,UK,England,London
10,UK,England,London
10,UK,England,London
10,UK,England,London
10,UK,England,London
10,UK,England,London
10,UK,England,Northamptonshire
10,UK,England,Surrey
10,UK,England,Wiltshire
11,USA,California,Arcadia
11,USA,California,Big Bear Lake
11,USA,California,Culver City
11,USA,California,Culver City
11,USA,California,Lake Tahoe
11,USA,California,Los Angeles
11,USA,California,San Bernardino National Forest
11,USA,California,Universal City
11,USA,District of Columbia,Washington
12,USA,California,Culver City
13,USA,New York,New York City
14,USA,California,Arcadia
14,USA,California,Beverly Hills
14,USA,California,Culver City
14,USA,California,Culver City
14,USA,California,Long Beach
14,USA,California,Redlands
14,USA,California,Riverside
14,USA,California,Santa Monica
14,USA,District of Columbia,Washington
15,Malta,,
15,Malta,Kalkara,Mediterranean Film Studios
15,Thailand,,
15,UK,England,Buckinghamshire
16,USA,California,Hanford
16,USA,California,Mojave Desert
16,USA,California,Mojave Desert
16,USA,Nevada,Henderson
16,USA,Nevada,Jean
16,USA,Nevada,Las Vegas
